,Population under 18,population between 18 and 34,population between 35 to 64,population 65 and over,Population white,population black,Population asian,population hispanic,population other race,family households,nonfamily households,population education high school,population education bachelors,population education masters,population education phd,owner  occupied units,renter occupied units,transportation car,number of cars,transportation public,tranportation motorcycle,household income form 10 to 40,household income form 40 to 75,household income 75 and above,house value for 20 to 100,house value for 100 to 500,house value 500 or more,rent bewteen 300 and 1000,rent bewteen 1000 and 2000,rent 2000 or more,Transportation Other means,population between 18 and 34_n,population between 35 to 64_n,population 65 and over_n,Population white_n,population black_n,Population asian_n,population hispanic_n,population other _n,family households_n,nonfamily households_n,population education high school_n,population education bachelors_n,population education masters_n,population education phd_n,household income less than 10_n,owner  occupied units_n,renter occupied units_n,transportation car_n,transportation public_n,tranportation motorcycle_n,household income form 10 to 40_n,household income form 40 to 75_n,household income 75 and above_n,house value for 20 to 100_n,house value for 100 to 500_n,house value 500 or more_n,rent bewteen 300 and 1000_n,rent bewteen 1000 and 2000_n,rent 2000 or more_n,Transportation Other means_n
Plumbing,-9.297493061464402e-10,4.8516098385364057e-09,2.6208728903365551e-08,-2.4999158795107563e-08,6.6324818880226423e-09,5.2087987217665242e-09,3.8116424040107289e-09,7.1482407021944154e-09,8.0179622903034053e-08,3.5588468291510046e-08,1.5447573347457083e-09,2.7851972922942857e-08,3.6057786462899094e-08,2.0620828153974497e-09,-1.7091651443407935e-07,3.8686734903290251e-08,1.3495920097204862e-08,-3.2934753493056496e-08,9.5652271182452199e-08,2.7572735226995915e-09,2.3771401757168349e-06,-1.1513897413336775e-09,8.4775755459033679e-08,4.8667774478450845e-09,1.0239671991793789e-07,7.6748391679423135e-08,4.0885226823055507e-08,1.5527409677540237e-08,3.9683436768132879e-08,1.3685191688870645e-08,2.8801275839156506e-08,,,,-4.8847153586703088e-08,-1.2218882802459669e-08,1.4482315779833797e-08,2.3903213724578179e-08,7.1611432882194595e-07,,,3.0561246169756544e-08,5.5410182436562989e-07,-1.4206651536384074e-06,2.1842486467869718e-06,,,,,,,,,,,,,,,,
Poison Ivy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Posting Advertisement,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Public Assembly,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Public Assembly - Temporary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Public Payphone Complaint,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.6313299705267698e-09,-3.2412638220452842e-08,1.1514034524754008e-07,6.578031783761904e-09,-1.6490837242497866e-08,-1.0687839456447984e-08,1.3493271091924496e-08,-2.2932368441509857e-09,-5.3448913339106209e-09,1.2598864535127099e-08,4.1460205327303733e-09,-1.5301368398691825e-07,3.6930531139415646e-07,-4.3603163522870204e-07,,1.0051307576306199e-08,-2.7578074983332233e-09,1.4802866582938238e-08,-2.5331082117447282e-08,-1.3080559916271184e-06,6.1285208291912246e-08,-1.0261672740237264e-07,1.5921929013799145e-08,-3.858707378259655e-08,4.2272675827425405e-09,5.0658453065526278e-09,-1.6109868799952524e-08,6.9857870420576008e-09,1.2169630712139981e-08,8.9591673713779038e-08
Public Toilet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Radioactive Material,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rangehood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Recycling Enforcement,-8.3900142849267433e-10,6.5917676214344218e-09,-3.9218949238026429e-10,2.4697002914201865e-09,3.0791990426150245e-09,1.6451610811960204e-09,8.8833245181647718e-10,9.0212419811668374e-10,1.7432496724983803e-09,5.1156624196107393e-09,4.3676115618200644e-09,3.0956564413493614e-09,9.7770125504492917e-09,8.5966360878062202e-09,-6.8847871557736617e-08,7.6093274953367998e-09,3.6938611324801846e-09,-1.3288852250985666e-08,2.4973078450177656e-08,4.7483534162810394e-10,8.2410708437506656e-07,6.8775937953796206e-09,3.0084281720698065e-09,5.4807241717002497e-09,9.5890361818892401e-08,5.5104775901230932e-09,1.3965519258063286e-08,2.4168706943574437e-09,8.242293534440523e-09,8.353469131994247e-09,1.1172964259797074e-08,-3.1438256417814528e-08,5.4023855254664901e-08,-9.5572973505351251e-08,-2.4698700637875737e-09,1.2774897639074451e-08,1.0842375298775987e-08,3.3889867884749911e-09,-1.0437248840376975e-07,8.602921141985518e-09,-1.1388479604584425e-08,1.5585293147169497e-08,8.5930956787548341e-08,-2.5202247247994853e-07,4.4101306150872856e-07,,,,-1.3451187863281369e-08,4.692708292583593e-08,-2.8498493545526354e-07,-6.8850804998170121e-09,2.6208693717932028e-08,-7.7865285152303662e-09,3.3623061666535691e-09,7.5951535991390428e-09,-6.499107108609531e-09,-8.3707726399101572e-09,1.0666500709736138e-08,-1.2852926719132996e-08,-5.4024372371134468e-08
Request Xmas Tree Collection,1.6639302099484155e-09,-8.8637017905095749e-09,9.7660219637018721e-09,1.009373158253848e-10,2.9282219829442437e-09,2.5310920653369832e-09,1.1153850256893954e-09,4.4416442189508411e-11,-1.4863129325016453e-09,1.1348913067031714e-08,-5.282471607214888e-09,7.9778246338791216e-09,-4.2368646110037058e-09,2.5230011265360628e-08,-7.0075728635422429e-08,1.9773548836581537e-08,-2.5313852079702632e-09,-4.6733841047858631e-08,7.7617799598381118e-08,-2.1656219494638116e-09,1.9722865077502964e-07,-1.7726479538825226e-08,3.9693352940172018e-08,7.4097839474180224e-10,-1.5729485690934e-08,2.7400639750099356e-08,8.6066541543622878e-09,,,,6.2492214376758465e-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rodent,6.0553173387680765e-08,2.1713884542784912e-07,-3.5672190409105033e-08,-5.0299444187882259e-08,5.0188779570270814e-08,6.0353319382065808e-08,-2.2630187630445198e-08,8.9391225219627496e-08,1.596051056615881e-08,1.7426439158866934e-07,9.0243654580698167e-08,2.0358952784413955e-07,1.159690572363425e-07,4.8462754097485852e-08,-2.6478009418042177e-07,3.4179043112442348e-08,1.8556120279459107e-07,-9.1775546447629567e-07,1.2016797330591804e-06,1.3247409965252646e-07,4.3194694659124938e-06,5.7536347793467248e-07,-2.8361518702513026e-07,9.0409616898044815e-08,1.3135920503085252e-06,3.1969395874662427e-07,2.3222953231852373e-07,3.2623747038351166e-07,1.5836302048808809e-07,7.1181251937664882e-08,1.1667793474615915e-07,,,,-1.4698300861361276e-07,8.4871697431499739e-08,7.2207056605513252e-08,5.7124057706627509e-07,-3.1588918593062797e-06,,,4.0745725283668772e-07,2.7455739077509895e-06,-8.4218063278151788e-06,1.7368984718520423e-05,,,,-7.821413532442992e-07,1.9403160167475806e-06,-2.4692616799086886e-05,5.4296864610483908e-07,-4.2497938566390318e-07,-9.0803610480807306e-08,2.3174327532918301e-06,-5.2431673402571368e-08,-2.205197743284056e-07,4.5692009133978912e-07,-1.1326415787585294e-07,-2.4649805363561429e-07,-1.1562972878508639e-06
Root/Sewer/Sidewalk Condition,2.3767756172842926e-08,-1.5535362228953061e-07,1.3617235463133585e-07,4.2498038410439933e-08,3.0986978496967734e-08,2.3768054286884622e-08,4.0199602721831831e-08,-4.2882665065219492e-09,7.2002160629949133e-09,1.5406367444951036e-07,-8.8084584760827503e-08,1.0762692353974258e-07,-4.5721064905490817e-08,2.7561025973154848e-07,-9.0148617853429675e-07,2.8125779702275487e-07,-5.2121253236708954e-08,-3.2850313138922597e-07,7.483017218211473e-07,-5.4309974569350758e-08,4.729474831524421e-06,-2.7241768898155632e-07,6.0682497943454499e-07,-2.5680076286508749e-08,-3.3849208004825069e-07,3.7818904146334956e-07,9.6274575004989964e-08,,,,4.8338598059427896e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SAFETY,7.0135981631237789e-08,4.7041916234855116e-08,-8.8711884744251845e-09,-6.7033673664519061e-08,6.1561124338086411e-09,2.1760038676130587e-08,-6.6757603361034817e-09,3.8588081703739501e-08,-3.0057007601228117e-08,8.0552323953912398e-08,-1.1604640193752793e-08,9.7995675525389058e-08,5.0318601748857611e-10,-3.9986356526861209e-08,1.8185432546677759e-07,-2.2318761479601526e-08,6.7801111729620064e-08,-6.4496430467989272e-08,8.8756296538400485e-08,6.9648190576370097e-08,-5.5370358039363874e-06,1.8644893114599602e-07,-1.0108624958338285e-08,-2.9424749051086138e-08,4.644111494277645e-07,1.0009650119742361e-07,3.7571068561389636e-08,9.5874914540183267e-08,7.7885026921031083e-08,-5.4015040365139212e-08,-5.0305497077701663e-08,,,,-3.9916931653574077e-08,1.4963968380985392e-08,1.9742621664652899e-09,1.9365958865267853e-07,-1.1035724250639655e-06,,,,,,,,,,,,,,,,,,,,,,
SG-99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sanitation Condition,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scaffold Safety,-1.9976214278151566e-09,4.220668843761009e-09,-1.5318515277142851e-09,3.5712130599117664e-09,1.3954992570618263e-09,3.7598978273308355e-10,-1.5454335200050281e-12,3.7025071464105383e-10,3.4318862371422664e-10,4.1971616038731195e-11,3.7326601183817178e-09,-2.5866363393676569e-10,3.6994118387428349e-09,1.7541303283102884e-09,-4.2963507308536666e-09,2.2457281608377378e-09,1.6774931988232412e-09,-1.9017485135612205e-08,2.4261119263788939e-08,2.4429259322970768e-10,1.9928249367286292e-07,9.2388054346818716e-09,-1.4457680225650942e-08,5.8927969575642995e-09,5.0413906997226911e-08,-1.9853959670788284e-09,7.0795111718789636e-09,2.4036568341887133e-09,4.6503538781226364e-10,7.0648694579734516e-09,7.7080001699718419e-09,-1.7210391296073205e-09,1.5135290955285074e-08,-4.1176034246786472e-08,-1.7370371566248837e-09,1.0656097388633232e-09,3.3782158452306617e-10,4.2103241883665055e-09,-7.2585419894709456e-09,1.5371795515200857e-09,-1.6400443533382968e-09,4.5298386513441707e-09,3.6066355401430656e-08,-1.0877812725686144e-07,2.3274365194054831e-07,,-2.9638953916726651e-09,2.3593549682191572e-09,-1.0147291735940892e-08,2.2688592441921766e-08,-8.4221408819958301e-08,4.1252693754972852e-09,-1.8827901252713449e-09,-1.1121551699346844e-09,3.5954861390599647e-08,-2.5608861599479866e-09,-1.5898279059215575e-09,8.5650367269591672e-09,-3.2276023677895917e-09,-1.7018750397196587e-09,-1.7110657915029298e-08
School Maintenance,4.1091132903210789e-09,6.5536189353671539e-09,-1.9206133241779908e-09,8.848129414864448e-09,3.4936479749197755e-09,3.5622915731031766e-09,3.134419124569317e-10,3.6371722747990473e-09,6.6459605707610036e-10,1.1127792234678401e-08,3.7971575827110192e-09,1.2248583713817504e-08,5.3077992301596065e-11,1.8251491589407516e-08,-3.3191540720470524e-08,8.4951491290321408e-09,7.8725534884314163e-09,-6.3415634663334436e-08,8.7760266137519424e-08,6.66210441080625e-09,-1.1688285378727364e-06,3.3222019771149139e-08,-2.2814199924581211e-08,8.88603019517655e-09,1.3351006599901327e-07,1.3029941680576168e-08,1.7888372202394927e-08,2.2029431930933397e-08,4.9193132827329636e-09,6.3703773584253503e-09,1.1727732090572325e-08,,,,-7.7878862766157399e-09,2.1670752734189282e-08,-2.3947838618109958e-09,1.8472128584713583e-08,-1.3980604926834247e-07,,,4.7225663419640144e-08,9.1870301123097854e-09,-1.831829121158734e-07,6.2971048792395096e-07,,,,-2.8195369846741075e-08,1.1162390970360579e-07,-1.4719991961437954e-06,-1.5207115376813471e-08,5.6058346367097478e-08,-1.6784639678985652e-08,,,,-4.7236714321430286e-09,1.5728287914805637e-08,-2.8341530563484975e-08,-1.1349150122724734e-07
Senior Center Complaint,2.5923167846205419e-10,3.4930110801084669e-09,-3.2589328416452782e-09,8.5075957063336237e-09,9.9696417994765503e-10,6.3526116082201811e-10,1.1620569915862967e-09,6.6566630217599362e-10,2.9708897983703576e-11,2.5575834097672333e-09,1.6175910051440872e-09,1.3875058513815482e-09,7.6489524183154274e-09,-6.8837369198266031e-09,-3.4526709486078539e-09,3.3356691309978081e-09,1.7450637241840555e-09,-3.3009904924537284e-09,9.9743190114767137e-09,1.196060028074896e-10,8.122246152768247e-08,8.5021006540533426e-09,-7.2470490484677689e-09,3.317310363067244e-09,1.3230631990347735e-08,7.4703523407807601e-09,5.5675731431574447e-09,3.6379897098669843e-09,2.0687193319764219e-09,3.3981257258799332e-09,5.1534693257519529e-09,,,,-3.1658375600549655e-09,-6.1505626106727974e-10,9.8395279968129716e-09,7.2893675083349742e-09,-4.3746187323258031e-08,1.9914843302126515e-09,-2.3434926506265225e-09,5.5228297642491211e-09,5.4245831994735314e-08,-1.6378564038180561e-07,3.5810690810175595e-07,,,,-1.5519969655276519e-08,3.6182221972629451e-08,-7.8509437159291938e-07,6.1689400285618993e-09,-4.5150891457610258e-09,-1.0451810216665021e-09,2.0158187793812065e-08,3.5514126522174854e-11,-2.0763026745982425e-09,-2.7357613480438246e-09,3.1041899967183514e-09,-2.9484748471500271e-09,-5.2516440389233273e-09
Sewer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sidewalk Condition,-3.7189261146022475e-08,6.3664190536856451e-08,-1.3699720346220385e-08,4.5015312242723038e-08,2.1249966692663784e-08,4.4995355790039531e-09,4.8714314301136455e-09,2.756772133294734e-09,2.2986420661011638e-08,5.2908320085516614e-09,5.7706131738644758e-08,-1.359333836623415e-08,5.9467523608438765e-08,1.5097180039158651e-07,-6.7616042948019654e-07,4.3337971794315061e-08,2.2450889429671619e-08,-1.8626976491264598e-07,2.5702078632536733e-07,-4.0053596088891895e-09,4.6806442993323855e-06,7.4046616381354943e-08,-1.173555037706192e-07,8.5615512766748432e-08,1.2499790607457884e-07,1.5675121001484937e-08,1.2651475125812875e-07,1.3723979290003591e-08,2.4655648178223752e-08,1.1681467729334244e-07,1.2933814474986078e-07,-1.143441781638254e-07,2.4683586675958314e-07,-4.7889168029582443e-07,-1.5190999924392039e-08,3.2043746307233955e-08,9.0168058059174584e-08,4.1592089212627516e-08,-5.3423707805990655e-07,3.6063263359652239e-08,-3.9318584253570869e-08,5.6092544362390061e-08,5.1207960675708701e-07,-1.3516811531704675e-06,2.1810454509584219e-06,,-1.7257519644046766e-09,1.1267221430961058e-08,-5.762873449021795e-08,2.0801501727438127e-07,-6.7617708042358768e-07,-1.7519394719854066e-08,9.9402449147116461e-08,-3.013932816549809e-08,1.8231400371669185e-08,2.9652408074347289e-08,-1.8520597785849612e-08,-1.743552425845316e-08,3.8220252142860387e-08,-4.4359658389058947e-08,-2.3104632450940755e-07
Smoking,-1.0183895430614431e-08,3.8556120552237711e-08,-2.3564879732168425e-08,3.6209379658579189e-08,5.3322683931667202e-09,2.441197580965985e-09,5.6503490328807384e-09,3.5830690256368263e-09,-1.8435826274296921e-09,1.2388604849084896e-09,2.350838625055378e-08,-4.3806491423989161e-09,4.6927592501907848e-08,7.25658494104297e-09,-2.5166385920236849e-07,2.9183490739592398e-09,1.4806023227729941e-08,2.4054172512483468e-09,8.9224028827938523e-09,-3.347956871826148e-09,1.9973449306712704e-07,4.0040443900923763e-08,-3.8754899824100565e-08,2.1240414960475047e-08,2.5376211696377835e-07,4.2032297137436068e-09,2.8802053319839994e-08,1.5917610942308125e-08,8.7282873707863162e-09,3.4546110477565195e-08,6.7389355266600298e-08,2.3174685316600868e-08,-3.545729683739446e-08,7.3078305684174739e-08,-1.0314012456647409e-08,-8.3580592916371827e-09,5.6261611356163401e-08,3.0637353238848145e-08,-2.190847502508288e-07,5.0133733871980308e-09,-1.8669768500452843e-09,-1.6550728880995943e-09,3.5043087309475714e-07,-8.4562191421010925e-07,1.3226658658988945e-06,,-1.3325654576520702e-08,1.2688855456266574e-08,-4.9927107768915849e-08,1.1508412648402237e-07,-3.227070153567402e-06,5.5215742016899561e-09,8.0566604168692252e-09,-4.2292808238505101e-09,1.1387205069503957e-07,-5.7299171002852953e-09,-4.248834159422415e-09,-1.2085996044885341e-08,1.2856636024098774e-08,-5.5021668853295983e-09,3.0388829805925919e-08
Snow,3.4335631620214864e-08,-1.1583713415254476e-07,1.3301464534913548e-07,4.4282838637000667e-08,,,,,,1.84583208592936e-07,-5.1881046619267913e-08,1.383841831748563e-07,-4.0474772598839512e-08,4.3213426852937983e-07,-1.3753653083605939e-06,2.8494109732958011e-07,-4.6365308079374165e-09,-3.5061113227476618e-07,7.9592016597216307e-07,-2.6908133842752765e-08,8.2012795857796698e-06,,,,1.8320569429385649e-07,4.296971643549035e-07,1.5608286380457657e-07,,,,7.4929934221455687e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Special Enforcement,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Special Natural Area District (SNAD),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Special Projects Inspection Team (SPIT),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.3103193789864819e-07,-9.616467100072989e-08,-5.4865663334395014e-08,-7.9855077369937177e-08,4.105769020093008e-06,,,,,,,,,,,,,,,,,,,,,,
Sprinkler - Mechanical,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Squeegee,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Stalled Sites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Standing Water,,,,,,,,,,,,,,,,,,-1.5233858989549595e-07,2.5516234241975786e-07,-1.1384669386170585e-08,1.4761330939168664e-06,,,,-3.278953393561168e-08,8.8834275512116284e-08,1.5525010624169293e-08,,,,2.4195839887931889e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Standpipe - Mechanical,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Street Condition,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Street Light Condition,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Street Sign - Damaged,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Street Sign - Dangling,2.0851345603335853e-09,-3.5216396158572911e-09,3.9079002672809509e-09,2.0732608715932359e-08,5.045417394731004e-09,5.4949923809272332e-09,5.9776367905225838e-09,-3.1429278854908992e-10,-2.4884874194703981e-09,1.7369773909459825e-08,-1.5151061819053829e-09,1.2088774969542892e-08,-1.0458303541337255e-09,5.3216671138679494e-08,-1.869779791080683e-07,2.9927464322699287e-08,2.9518999825965861e-10,-6.0286621046358197e-08,1.0910070962434465e-07,-3.0733250724026833e-09,-4.8917305842998146e-07,-5.8511263793472567e-09,3.3526038937196141e-08,8.2979058473389962e-09,2.9733896717251644e-08,4.6103194579202918e-08,1.7038792430706319e-08,,,,2.613146328286612e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,-5.2319941850364439e-08,3.7660820624545441e-08,-1.9141482418940058e-08,
Street Sign - Missing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sweeping/Inadequate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sweeping/Missed,4.9369294730143712e-09,-3.0674091386717177e-10,5.8429932711752745e-09,3.1148861419383914e-09,5.4965990247842873e-09,5.6617676993584868e-09,5.2470418882471886e-09,6.874694932879138e-10,-1.3309411841679648e-08,1.8069347404317968e-08,-2.1189253432389371e-09,1.435072034940618e-08,-4.279037381811459e-09,4.9800509323006276e-08,-1.4832627157733231e-07,1.8607249677551004e-08,5.4844682251306611e-09,-1.2437901870706876e-09,1.7368148746487021e-08,9.6786976546529643e-09,5.7582484559062472e-08,-2.1509976135438515e-08,7.6798804336937784e-08,-4.887338907395758e-09,4.2587013345152132e-08,2.3264935644781119e-08,3.1137590012754231e-08,-6.4075086055892403e-09,2.8256884013511428e-08,4.0233860244761538e-10,-7.6095862463535724e-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tanning,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tattooing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Taxi Complaint,,,,,,,,,,,,,,,,,,-1.7482970095273332e-06,2.0255514115199361e-06,-1.0970419065844495e-07,9.6227401983085408e-06,,,,,,,1.2516108556767956e-07,-1.2444250009216884e-07,9.8455297959995139e-07,1.3098458951235464e-06,1.045046281204103e-06,-1.0295779566427993e-06,1.2361905793240603e-06,1.3103556241644445e-08,-3.4961922063894295e-07,-2.143064076076471e-07,2.8209373600596179e-07,2.4280586222719706e-06,-1.2029347835042467e-07,2.9748469958597833e-07,-2.3301869393554845e-07,2.0791208796390798e-06,-4.2171443185593643e-06,7.18564983736476e-06,,-1.7401902474277013e-07,2.0259045747134195e-07,-3.3452953742605353e-07,4.6668000243073478e-07,-1.3287729222887526e-05,3.5646277151918508e-07,-6.0218577917213479e-07,1.3894962348813071e-07,7.6562051311601578e-07,-1.8329714243518387e-07,1.792946223307806e-07,-5.5582003316143651e-09,-1.2662900290125308e-08,2.6445502235834223e-07,9.887973290703155e-07
Taxi Report,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.3312003558763781e-08,-6.49757578004407e-08,1.1789584551210279e-07,1.7123398938810086e-09,-1.8137822487930139e-08,-1.1515711391691804e-08,1.2789884996668534e-08,9.6832323553533275e-08,-6.4936698078674843e-09,1.3865000854576957e-08,-1.129313219054782e-08,3.2348874487169213e-08,-4.1396485063822736e-08,9.7124507973204066e-08,,-5.1372874331659876e-09,6.5890601601614875e-09,-7.8943563094146642e-09,7.1251685431428506e-09,-1.0316614307644839e-06,2.32334734529236e-08,-4.1903898132150338e-08,8.6390475711204157e-09,-1.0134304900954695e-08,-4.7892319460809881e-09,9.4934240998419197e-09,-1.6529318642750128e-08,6.6919457628518569e-09,1.2578700742514716e-08,6.8049696031561069e-08
Traffic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Traffic Signal Condition,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trans Fat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Transportation Provider Complaint,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UNSANITARY CONDITION,5.7250028637072155e-07,3.4160855587137e-07,-8.3453945552201094e-08,-4.0496205451105345e-07,5.314722246440203e-08,2.1153035178871255e-07,-7.7163186112678438e-08,2.9566744033853125e-07,-1.9677019524722652e-07,6.240692714092012e-07,-3.8545162659569611e-08,8.1103656187109367e-07,-3.7963489667196849e-08,-2.8115492137531777e-07,1.7225270569830151e-06,-2.303489184214835e-07,5.8544538092535238e-07,-9.8691529099106922e-07,1.2352196870125246e-06,6.0634440254392109e-07,-5.8899182539793929e-05,1.645530288648745e-06,-2.1415112223148366e-07,-2.385097086862746e-07,4.4403889542388407e-06,8.0718765870914053e-07,2.2488228524190717e-07,8.4120912792802524e-07,6.36868577413631e-07,-4.6864087571186586e-07,-4.0877888275862527e-07,,,,-2.9489971904250524e-07,2.2183879922505048e-07,-1.395920804102598e-07,1.6457942186478247e-06,-1.0075811086912769e-05,,,1.0309491845534112e-06,6.0719382901618248e-06,-1.9610203897998031e-05,4.3279329249503533e-05,,,,-2.6156983270833918e-06,6.1108467931550873e-06,-0.00012055696134078756,2.4566306163703326e-06,-2.7772447720325592e-06,-4.9355551182942151e-08,7.6473143943206731e-06,-3.5058246377911768e-07,-5.9860971915918848e-07,,,,-1.6704316647718781e-06
Unleashed Dog,1.8024049026021622e-09,-5.093351266783684e-09,6.3015295502005455e-09,-6.5301476642668186e-10,1.8348215104473362e-09,1.0534205761477549e-09,4.8170318563829715e-12,1.7719126499432707e-09,7.4916342386091251e-10,7.759231271412032e-09,-2.2666537394232656e-09,7.660208224366121e-09,-4.1030340208173357e-09,1.2685248026418574e-08,-1.7918154532718395e-08,1.0325757894387781e-08,3.932342495945748e-10,-2.2080393135014841e-08,4.1013210016542877e-08,-6.9603105852425818e-10,3.8224332383655658e-07,-1.842530766892184e-09,1.5803522831582951e-08,9.1609433146864506e-10,3.1509940000797604e-08,1.9703551108194001e-08,1.820543936689826e-09,3.3956592730145941e-09,6.3294878958178575e-09,-4.3143861487626613e-10,2.663366345344923e-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Unsanitary Animal Facility,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Unsanitary Animal Pvt Property,9.7239458491739659e-09,-1.3051237080388454e-08,1.846111862040508e-08,-7.9023306636920863e-09,5.1703235721063265e-09,6.0509720949262719e-09,-6.3816297896992029e-10,4.8641089096592748e-09,8.2151449539711288e-09,2.6765437188379494e-08,-8.1618547927733521e-09,2.5653778046385359e-08,-8.5843322346990928e-09,3.7988983954287477e-08,-9.8401063547817737e-08,2.8209872827126543e-08,4.5630898084791552e-09,-8.0999332665099862e-08,1.3794416376356218e-07,4.0222158649560935e-09,-1.5460165505362033e-07,-4.0867532375754672e-09,6.41493793135827e-08,-4.5751450686514359e-09,5.9047174021610095e-08,6.6370491442029913e-08,6.5646312107982443e-09,1.4221807734214073e-08,2.2815252169899593e-08,-7.5603894244610009e-09,5.1188190889296033e-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
